LINE,STATION,IN_MON,IN_TUE_TO_THU,IN_FRI,IN_SAT,IN_SUN,OUT_MON,OUT_TUE_TO_THU,OUT_FRI,OUT_SAT,OUT_SUN,ANNUALISED_INANDOUT
LU,Acton Town,7288,8125,8016,6552,4684,7546,8438,8245,6696,5224,4823835
LU,Aldgate,10183,12769,9612,6518,4860,11247,14494,11040,7982,5387,6897314
LU,Aldgate East,16046,19106,18158,17203,12549,15225,17758,17903,17163,11058,10947896
LU,Alperton,4187,4234,4294,3532,2487,4497,4539,4413,3682,2580,2598605
LU,Amersham,2807,3373,2724,2093,1209,2712,3237,2748,1914,1228,1729521
LU,Angel,16331,20242,19840,18253,12006,17207,21791,21935,20196,12276,12258814
LU,Archway,11128,12701,12423,10171,7087,10801,12259,11356,9107,6838,7137484
LU,Arnos Grove,5172,5771,5770,4808,3488,4865,5400,5417,4542,3391,3293586
LU,Arsenal,3118,3827,3740,3734,2482,3002,3553,3338,3470,2459,2203557
LU,Baker Street,32085,36489,36140,29380,18964,32697,37438,37109,29574,19221,21207073
LU,Balham LU,14062,16938,16374,15977,9477,14040,16854,15633,15309,9524,9828394
LU,Bank and Monument,58761,79701,52366,27620,18080,60145,81267,54557,29072,18054,37200346
LU,Barbican,8391,10100,7908,4566,3558,8727,10611,8123,4724,3603,5185508
LU,Barking,24831,26140,25508,20113,14261,24873,26327,25471,19439,14263,15137045
LU,Barkingside,1908,2130,1914,1330,925,1947,2168,1932,1343,953,1167037
LU,Barons Court,8287,10030,8812,6366,4332,8274,9161,8707,6131,4444,5240900
LU,Battersea Power Station,10265,13973,12517,19599,9656,9912,12800,11775,17766,9186,8399835
LU,Bayswater,5338,5898,6315,6523,5129,5028,5475,5863,5992,4230,3644937
LU,Becontree,4844,5331,5046,3495,2341,4917,5163,4742,3300,2304,2899358
LU,Belsize Park,7823,9021,8262,6473,4846,7869,8871,8135,6239,4909,5022937
LU,Bermondsey,10008,11478,11595,11069,7171,9752,11141,11224,10837,7050,6802053
LU,Bethnal Green LU,14369,17155,17340,17156,12147,13540,16240,16583,16574,11373,10176312
LU,Blackfriars LU,15884,19764,14449,12171,8610,15161,18997,13821,10977,7065,9951205
LU,Blackhorse Road,13856,15992,15397,13222,9116,13234,14975,14279,12480,8911,8975412
LU,Bond Street,54309,64747,57923,55393,35619,55596,66105,60746,57581,36668,37424555
LU,Borough,5700,7150,6496,5755,3485,5747,7557,6613,5928,3804,4067823
LU,Boston Manor,2306,2486,2447,1761,1243,2403,2661,2367,1694,1276,1435853
LU,Bounds Green,6626,7473,7449,6185,4212,6416,7184,6992,5874,4208,4266560
LU,Bow Road,6444,7144,7139,6115,4482,6269,6818,6627,5849,4776,4157626
LU,Brent Cross,3066,3389,2964,2372,1782,2996,3275,2913,2270,1735,1860607
LU,Brixton LU,28089,33083,34583,34458,23130,27499,32069,34094,33994,23265,20168356
LU,Bromley-by-Bow,5821,6574,6225,4799,3919,5786,6487,6024,4694,3868,3727656
LU,Buckhurst Hill,2819,3316,2949,2280,1441,2770,3267,2901,2131,1444,1786001
LU,Burnt Oak,5189,5532,5259,3737,2905,5012,5280,5091,3526,2863,3063800
LU,Caledonian Road,6906,7686,7687,6178,4603,6500,7241,6993,5692,4477,4354076
LU,Camden Town,23798,26322,31478,33131,27507,24387,27256,32894,42368,28916,18805872
LU,Canada Water,13515,15121,15890,16413,11517,13715,15393,16097,15855,11808,9576731
LU,Canary Wharf LU,47422,56704,44915,38264,26666,49077,58810,46206,39309,26664,30865778
LU,Canning Town,18147,19345,20528,19610,15445,18207,19624,21303,20735,14769,12328817
LU,Cannon Street LU,6573,8611,5568,3287,1999,6067,7971,5072,2805,1672,3842155
LU,Canons Park,3397,3698,3416,2812,1789,3353,3673,3346,2636,1814,2073359
LU,Chalfont & Latimer,2888,3061,2392,2111,992,2731,2716,2316,2542,1278,1604937
LU,Chalk Farm,6254,7453,8378,10233,5628,5420,6592,7324,7582,4714,4532637
LU,Chancery Lane,12649,16649,11084,5046,2511,13410,17917,11915,5349,2477,7803444
LU,Charing Cross LU,20406,24918,22836,25975,16870,19519,23622,22049,25557,13263,14484286
LU,Chesham,1575,1877,1602,1242,725,1496,1737,1562,1113,679,966889
LU,Chigwell,620,714,581,318,212,507,595,513,273,209,332284
LU,Chiswick Park,3058,3688,3125,2516,1643,3430,4094,3363,2454,1762,2074444
LU,Chorleywood,3003,3122,2510,1763,1282,2272,2317,1833,1266,1110,1455300
LU,Clapham Common,10050,12472,12842,14141,8197,11032,13935,13667,15100,8989,8040059
LU,Clapham North,6805,8061,9087,9313,5239,7222,8804,8932,9681,5404,5210928
LU,Clapham South,9081,11319,10374,9364,5678,9220,11231,9875,9005,6006,6323510
LU,Cockfosters,2057,2346,2369,2496,1510,2051,2409,2392,2460,1649,1450247
LU,Colindale,10120,11203,10696,8454,6269,9857,10897,10220,7994,6147,6314434
LU,Colliers Wood,8039,9190,9136,8342,5693,7800,8798,8653,7798,5625,5339416
LU,Covent Garden,14145,17681,18221,22652,14622,16696,20531,22051,30628,17279,12573815
LU,Croxley,1449,1684,1379,751,436,1422,1669,1362,716,471,837496
LU,Dagenham East,4590,4892,4622,3218,2400,4261,4577,4348,2888,2270,2645552
LU,Dagenham Heathway,8095,8694,8515,5702,4040,7944,8564,8360,5554,4040,4827763
LU,Debden,3176,3532,3132,1970,1227,3107,3439,2982,1897,1264,1841035
LU,Dollis Hill,5097,5503,5408,4232,3113,4687,4961,4870,3846,2942,3043893
LU,Ealing Broadway,22063,25758,24877,21081,14778,24870,27290,25426,22951,17265,15429088
LU,Ealing Common,2935,3338,3294,2762,1962,3001,3411,3290,2614,2015,1954910
LU,Earl's Court,23468,25726,26109,23500,19063,23245,25919,26894,24498,18294,15779710
LU,East Acton,5019,5594,5225,3931,2734,5095,5606,5187,3983,2689,3130908
LU,East Finchley,8026,9555,8330,6966,4609,7948,9374,8011,6607,4720,5198096
LU,East Ham,17788,18335,18454,14959,12043,17317,17967,17666,13854,11448,10787392
LU,East Putney,8923,10176,9622,8084,5810,8943,10149,9052,7408,5845,5785361
LU,Eastcote,3472,3971,3582,2858,1667,3393,3937,3475,2660,1671,2158123
LU,Edgware,6586,7017,6680,5344,3894,6598,7009,6685,5423,3767,4040066
LU,Edgware Road (Bak),5104,5596,5432,5901,3403,5189,6004,5728,5177,3448,3442771
LU,Edgware Road (DIS),8663,10012,9268,8078,5788,8507,9760,9120,8007,5563,5676320
LU,Elephant & Castle LU,21000,25283,24005,22126,15005,20187,23304,22964,21126,14573,14236050
LU,Elm Park,4226,4841,4166,2836,1916,4089,4741,4091,2797,1923,2542830
LU,Embankment,21973,28762,26468,31414,19679,21598,28321,26034,30847,18143,17051267
LU,Epping,4667,5343,5457,5730,3453,4656,5434,5099,5229,3972,3276268
LU,Euston LU,41115,50032,48535,45359,34321,41734,50663,52559,46428,33522,29965071
LU,Euston Square,18161,20811,17750,10271,8161,19293,22315,19845,10497,8818,11239346
LU,Fairlop,1441,1621,1437,1280,776,1374,1502,1372,1252,786,885823
LU,Farringdon,65397,84203,62876,35288,23739,63536,80892,60968,34078,22235,40070382
LU,Finchley Central,9795,11621,10398,7709,4723,9597,11151,10057,6928,7335,6258859
LU,Finchley Road,11326,12418,12354,9410,7196,11076,11951,11652,8819,6860,7045026
LU,Finsbury Park,28655,33928,33814,32968,24806,28334,33547,33019,32506,24753,20479785
LU,Fulham Broadway,10439,12165,11726,9502,6348,10557,12056,11062,8818,5904,6823150
LU,Gants Hill,8013,8768,8132,5895,4388,7593,8326,7773,5682,4245,4780369
LU,Gloucester Road,18015,19562,20131,15774,12187,17109,19050,19344,14987,11251,11353518
LU,Golders Green,9528,10353,10117,7681,6450,9585,10386,10118,7628,6622,6030683
LU,Goldhawk Road,2712,3151,3135,2770,1690,2680,3097,2896,2497,1763,1804676
LU,Goodge Street,8240,9484,7781,5251,2954,8646,10369,8814,5825,3114,5113576
LU,Grange Hill,725,815,702,434,266,662,721,577,343,241,397280
LU,Great Portland Street,8787,10667,8174,4873,3473,8863,10805,8323,5030,3275,5347065
LU,Green Park,38040,46982,42165,37511,25109,42144,53512,49212,44776,28206,28247401
LU,Greenford,5308,5771,5366,4411,2794,5452,5842,5394,4067,2813,3269238
LU,Gunnersbury,6558,7931,6200,4626,2849,6405,7785,5886,4792,2710,4045767
LU,Hainault,4911,5299,5020,3431,2226,4662,5085,4800,3192,2255,2861021
LU,Hammersmith (DIS),32977,35262,32909,28909,18685,32788,35208,32469,28768,18290,20290665
LU,Hammersmith (H&C),13669,15654,14224,12746,7960,13327,15093,13535,12326,7600,8707793
LU,Hampstead,5230,5963,6026,5549,4794,5949,6693,6825,5994,5472,3889479
LU,Hanger Lane,4015,4667,4258,3466,2435,3822,4424,4097,3169,2352,2547324
LU,Harlesden,4122,4538,4497,2787,1742,4070,4447,4446,2702,1822,2466317
LU,Harrow & Wealdstone,5982,6565,6255,4541,2952,5674,6179,5746,4050,2847,3540050
LU,Harrow-on-the-Hill,13126,14096,13883,11129,7956,13750,15086,14654,11447,8267,8435460
LU,Hatton Cross,4406,4657,4684,4051,3374,4522,4692,4640,4076,3660,2852360
LU,Heathrow Terminal 4 LU,2192,2172,2638,2191,2682,2221,1982,2259,2193,2465,1452783
LU,Heathrow Terminal 5 LU,6250,5810,6778,5435,6376,4918,4628,5219,4474,5528,3540730
LU,Heathrow Terminals 123 LU,9404,8870,10013,8727,9249,8505,6668,7626,7232,8303,5368454
LU,Hendon Central,8982,9535,8934,6350,4832,8561,8933,8351,5724,4479,5179915
LU,High Barnet,5260,5948,5788,4037,2798,5084,5768,5574,3741,2806,3259745
LU,High Street Kensington,13859,16086,16032,14501,10397,13515,15806,15453,13796,9596,9413060
LU,Highbury & Islington,19669,22947,23854,21943,14046,21226,24118,24739,23136,14927,14142708
LU,Highgate,6363,7665,7296,6388,4135,6509,7798,7221,6317,4364,4408040
LU,Hillingdon,2275,2511,2397,1831,1346,2010,2333,2183,1676,1349,1373730
LU,Holborn,29787,36748,31465,24135,14340,31880,39599,34284,26207,14994,20240977
LU,Holland Park,4048,4667,4472,3256,2282,4148,4762,4489,3250,2311,2624208
LU,Holloway Road,8488,9004,8830,6529,4501,8549,8933,8411,6315,4596,5106522
LU,Hornchurch,2658,3045,2718,1746,1050,2705,3091,2730,1849,1115,1623305
LU,Hounslow Central,4955,5121,4975,4114,3036,4854,5102,4983,3968,3099,3000487
LU,Hounslow East,5234,5438,5461,4800,3711,5388,5805,5665,4843,3798,3370726
LU,Hounslow West,4273,4510,4572,4020,3390,4262,4537,4559,4067,3529,2776023
LU,Hyde Park Corner,5467,6484,6322,8648,4649,5799,6510,6575,8316,4867,4159381
LU,Ickenham,1396,1540,1444,1035,642,1403,1589,1434,998,659,853803
LU,Kennington,6409,7706,7905,7655,5085,6322,7573,7707,7650,5261,4633070
LU,Kensal Green,2773,3258,3127,2484,1659,2661,3177,3035,2365,1741,1817060
LU,Kensington (Olympia),---,---,---,---,---,---,---,---,---,---,---
LU,Kentish Town,---,---,---,---,---,---,---,---,---,---,---
LU,Kenton,2586,2635,2585,1883,1240,2579,2687,2639,1876,1302,1515511
LU,Kew Gardens,5146,7139,5518,6367,4509,5002,7066,5172,6106,4405,3937317
LU,Kilburn,8469,9432,9434,8229,6020,8444,9343,9153,8061,5956,5573360
LU,Kilburn Park,3932,4428,4517,4222,2800,3790,4287,4274,3983,2744,2617813
LU,King's Cross St. Pancras,99202,116586,119487,109891,93329,97322,118815,124388,112291,91954,72124262
LU,Kingsbury,5795,5983,6072,4341,3229,5754,6002,6072,4314,3157,3466311
LU,Knightsbridge,19380,23423,22517,25951,16011,18016,21217,20178,22625,13759,13568222
LU,Ladbroke Grove,8112,8912,9937,11859,5927,8019,8739,9480,11766,5820,5748997
LU,Lambeth North,3892,4703,4621,4531,2923,3785,4324,4281,4129,2703,2689160
LU,Lancaster Gate,4122,4916,5557,5767,4258,4109,4969,5455,5506,3923,3172252
LU,Latimer Road,3326,3730,3169,2193,1640,3268,3563,2941,2059,1586,1952034
LU,Leicester Square,31720,42332,51527,64463,37397,28364,37768,45912,57018,33252,27379635
LU,Leyton,13116,14429,14167,15029,8914,12582,13933,13371,14170,8709,8592536
LU,Leytonstone,10698,12019,11893,9490,6683,10745,12109,11806,9417,6760,6955728
LU,Liverpool Street LU,83559,105490,91428,74086,47873,85288,106135,91332,76196,48422,57226398
LU,London Bridge LU,72179,90894,90270,101262,63986,70057,88799,86000,96497,60716,54765991
LU,Loughton,4200,4891,4469,3781,2263,4246,5035,4568,3650,2353,2752421
LU,Maida Vale,4140,4823,4593,3883,2575,3969,4562,4269,3597,2598,2681574
LU,Manor House,8846,10067,10084,9193,6494,8801,9910,9788,8709,6631,5962575
LU,Mansion House,6905,8749,6097,3401,2499,7408,9665,6650,3617,2505,4377539
LU,Marble Arch,12567,14172,14060,14486,9961,12280,14033,13708,14001,9412,8590075
LU,Marylebone LU,11135,14398,12359,11549,7696,11487,15410,13116,12426,7909,8219228
LU,Mile End,17667,19368,19188,15373,11036,17509,18916,18369,14801,11365,11145822
LU,Mill Hill East,2532,3055,2610,2069,1193,2609,2860,2349,1992,1321,1597432
LU,Moor Park,1435,1587,1409,742,421,1373,1568,1380,755,447,808774
LU,Moorgate,37566,48929,31103,14290,9328,41036,53221,35061,17194,10672,23330204
LU,Morden,12752,14216,13743,12881,8628,12001,13670,13479,12304,8612,8263631
LU,Mornington Crescent,3947,5563,4735,7090,2938,3554,4885,4346,3932,2045,2967011
LU,Neasden,4444,4649,4559,3390,2493,4046,4217,4164,3230,2359,2565708
LU,Newbury Park,5755,6244,5948,4263,3149,5239,5681,5435,4062,3023,3371643
LU,Nine Elms,6300,7116,6959,5717,4864,5918,7025,6553,5233,4562,4108613
LU,North Acton,9206,9784,9727,7332,5524,9220,9666,9599,7133,5702,5652447
LU,North Ealing,1000,1077,1152,817,491,975,1041,1001,751,508,605628
LU,North Greenwich,24703,37187,39217,41088,24360,25474,40086,42612,44760,25267,23172392
LU,North Harrow,2338,2699,2355,1618,1059,2246,2566,2198,1507,1021,1398638
LU,North Wembley,2265,2318,2330,1727,1055,2149,2255,2159,1491,1033,1296040
LU,Northfields,3857,4581,4370,3245,2511,3759,5414,5350,4162,2716,2782422
LU,Northolt,6503,6867,6802,5612,3981,6266,6577,6396,5105,3835,3937018
LU,Northwick Park,6137,6227,5798,3623,2486,6111,6112,5494,3172,2427,3353641
LU,Northwood,3557,4047,3725,2539,1551,3504,4015,3631,2376,1521,2162088
LU,Northwood Hills,2351,2638,2461,1603,1078,2271,2565,2340,1552,1087,1408690
LU,Notting Hill Gate,16152,18406,19413,21972,12929,16982,19375,20804,25217,14143,12110869
LU,Oakwood,3442,3739,3787,3423,2563,3450,3881,3987,3572,2634,2307306
LU,Old Street,22003,29670,24364,20568,13377,21768,29556,25902,22712,13080,15846905
LU,Osterley,2660,2944,2696,2216,1664,2649,2950,2618,2163,1748,1675267
LU,Oval,8044,9809,9421,8255,5746,7914,9692,9158,8079,5881,5615724
LU,Oxford Circus,64847,84129,74803,76154,47114,71881,93337,85536,95807,52647,51106043
LU,Paddington TfL,71505,82171,77763,73620,59269,68344,80840,79416,70937,56149,48546460
LU,Park Royal,2450,2734,2790,2366,1559,2589,2915,2926,2450,1574,1654538
LU,Parsons Green,8583,10077,9359,7570,4726,8604,10024,8968,7162,4719,5568858
LU,Perivale,2830,3092,3000,2297,1456,2764,3014,2875,2120,1452,1722368
LU,Piccadilly Circus,34896,42612,44568,53654,31771,33214,41121,43773,53319,29773,26739879
LU,Pimlico,10583,12876,11612,9457,6850,10556,12612,11191,9252,6753,7087668
LU,Pinner,3957,3796,3802,3000,2041,3892,3805,3509,2952,1961,2223811
LU,Plaistow,7173,7897,7671,5656,4277,6749,7532,7093,5298,4248,4383503
LU,Preston Road,4015,4289,4170,3000,2209,3933,4307,4076,2851,2177,2423452
LU,Putney Bridge,6988,8311,8096,6812,5028,7815,9238,8486,6848,5209,5008989
LU,Queen's Park,6782,7847,7352,6345,4201,6424,7490,6853,5936,4332,4373423
LU,Queensbury,5182,5390,5369,3754,2625,5171,5398,5270,3698,2530,3061427
LU,Queensway,8696,8932,9711,10923,8057,8832,9987,10439,11199,7942,6151983
LU,Ravenscourt Park,4382,4858,4755,3486,2327,4318,4779,4670,3398,2305,2717311
LU,Rayners Lane,5512,5965,5592,4371,3096,5312,5840,5475,4108,3092,3340365
LU,Redbridge,3364,3624,3434,2844,2044,3080,3322,3142,2555,1916,2005688
LU,Regent's Park,3242,3859,3435,2808,1575,3785,4511,4208,3420,1926,2297814
LU,Richmond,13582,14308,14256,12166,13517,13510,14073,14829,11360,12874,8875310
LU,Rickmansworth,3085,3550,3306,1929,1343,3029,3419,3196,1791,1302,1851241
LU,Roding Valley,395,362,324,279,192,627,618,446,359,205,267679
LU,Royal Oak,3373,3832,3662,2999,2286,3183,3600,3313,2823,2144,2138577
LU,Ruislip,2240,2497,2511,1950,1364,2332,2591,2564,1930,1379,1463521
LU,Ruislip Gardens,1288,1505,1417,1081,652,1198,1419,1251,1062,663,806675
LU,Ruislip Manor,2174,2498,2401,1807,1128,2210,2568,2376,1673,1115,1396078
LU,Russell Square,12243,13099,13648,10296,8031,12465,13511,14251,10232,7564,7822836
LU,Seven Sisters,18647,20517,20832,17791,13157,18246,20598,20569,16753,12792,12165434
LU,Shepherd's Bush LU,17577,21136,20444,22566,12928,16890,20000,19258,21452,12089,12373422
LU,Shepherd's Bush Market,4552,5508,5664,5695,3270,4340,5352,5211,4955,3043,3216718
LU,Sloane Square,19146,23752,22946,18359,11552,19161,23513,22016,17020,11485,13156281
LU,Snaresbrook,3024,3336,3238,2402,1588,2937,3246,2910,2369,1649,1849887
LU,South Ealing,3733,3270,3248,2827,1980,3724,1790,1688,1825,1641,1663555
LU,South Harrow,3318,3398,3329,3198,1956,3336,3293,3255,3548,1995,2042489
