LINE,STATION,IN_MON,IN_TUE_TO_THU,IN_FRI,IN_SAT,IN_SUN,OUT_MON,OUT_TUE_TO_THU,OUT_FRI,OUT_SAT,OUT_SUN,ANNUALISED_INANDOUT
LO,Blackhorse Road,0,0,0,0,0,0,0,0,0,0,0
LO,Brockley,5009.764077,5009.764077,5363.762189,4755.709343,3138.392576,4614.131802,4614.131802,4552.394621,3925.098738,3026.580686,2976079.455
LO,Brondesbury,3912.918108,4237.443641,4294.589494,2616.725835,2272.727273,3792.830263,4142.681137,4099.166405,2127.952785,2193.561917,2373563.231
LO,Brondesbury Park,2482.484345,2482.484345,2575.201785,921.9704425,965.1755655,2473.381726,2473.381726,2524.148286,812.6633183,1066.264631,1349727.413
LO,Bruce Grove,3537.017566,3537.017566,3060.770892,2477.001695,2125.475236,2890.197386,2890.197386,2801.66472,2160.068887,1694.850579,1883231.657
LO,Bush Hill Park,2109.42554,2109.42554,1811.138551,1520.152224,918.4780623,1771.19877,1771.19877,1501.407172,1201.898599,844.4522787,1097138.22
LO,Bushey,598.4032325,598.4032325,664.3162763,1261.512403,495.5511031,1081.837468,1081.837468,626.1180141,1050.249072,432.098817,529317.2908
LO,Caledonian Road & Barnsbury,2908.674264,2908.674264,3410.648124,2403.965883,1533.733841,2976.339118,2976.339118,3508.327801,2277.860371,1727.334891,1806697.059
LO,Cambridge Heath,2168.294754,2168.294754,2018.696582,1741.432827,1475.036083,2294.876277,2294.876277,2280.689702,1808.254384,1466.27984,1347571.964
LO,Camden Road,5675.789032,6354.513998,6074.761455,5740.798993,3622.994652,5970.69309,6756.107791,6768.769005,6163.888015,3850.005243,3914293.654
LO,Canada Water,0,0,0,0,0,0,0,0,0,0,0
LO,Canonbury,3364.111111,4046.2,4048.125,2119,2471.25,3221.555556,3774.1,3753.125,1902,2490.8,2203253.882
LO,Carpenders Park,1789.346755,1893.152983,1837.842089,1308.587606,790.4552195,1847.42465,1958.05809,1857.895565,1242.529097,832.8964384,1084933.582
LO,Cheshunt,789.2,850.5,844.5,768,676.3333333,1395.142857,1406.555556,1417.5,1072,833.5,685350.4319
LO,Chingford,2754.510209,3337.652597,2847.040183,2528.31079,1566.110936,2735.91888,3316.960251,2802.243892,2430.009437,1675.159904,1849096.719
LO,Clapham High Street,2472.618305,2472.618305,2601.836105,2210.689655,1625.073691,2627.227865,2627.227865,2962.282239,2579.079701,1910.483492,1613188.1
LO,Clapham Junction,20725.88889,22925.44444,22346.875,17782,10496.16667,18371.33333,19995.77778,19783.625,15622,9423.166667,12388179.53
LO,Clapton,3187,3893.563874,3730,2239.402418,1504.508369,2885,3433.132184,3321,1900.29569,1390.90341,1982477.692
LO,Crouch Hill,1710.067737,1710.067737,1755.62114,1357.293774,762.3635947,1756.533182,1756.533182,1805.452475,1420.897726,890.5683371,1028382.567
LO,Crystal Palace,2639.111111,3025.142857,2656.2,2827,2217.8,2669.555556,2895.714286,2546.4,2560.75,2252.2,1793978.533
LO,Dalston Junction,6597.724651,8337.527524,9106.37517,10930.27157,6239.383454,6700.3367,8359.756737,9373.75485,11574.70903,6579.112929,5513608.838
LO,Dalston Kingsland,7073.109993,8140.29569,9133.768481,8627.45098,5246.583482,7052.270106,8048.442907,9465.633847,8771.102024,5633.322848,5154919.177
LO,Denmark Hill,11626.67322,11626.67322,11261.62668,5584.44549,5181.115229,11969.4972,11969.4972,11642.85054,5602.777174,5177.109157,6531757.925
LO,Edmonton Green,5273.730113,5273.730113,5286.859459,4676.570891,3234.599517,5085.384383,5085.384383,5299.080556,4216.168565,3059.79248,3162009.743
LO,Emerson Park,574.8072617,574.8072617,501.9409166,292.5962934,105.5931818,411.97815,411.97815,357.2527813,159.879697,96.02147651,256896.9063
LO,Enfield Town,3353.405533,3680.297788,3364.789766,2557.757506,1765.75443,3145.905421,3382.719933,3137.254902,2216.629967,1621.579113,1992542.548
LO,Euston NR,3836,5005.2,5248,4861,2940,3591,4466.7,4815,3920,2916.75,2848390.404
LO,Finchley Road & Frognal,3248.459081,3248.459081,3367.175873,1212.558923,1792.735724,3496.762018,3496.762018,3572.448843,1258.771563,1854.253473,1883708.572
LO,Forest Hill,3954.991014,3954.991014,3898.007109,3582.910539,2702.783506,4097.882549,4097.882549,4081.264988,3440.677722,2804.874644,2480414.896
LO,Gospel Oak,3619.319692,3939.283754,3948.737407,2887.536284,1977.510545,3548.086783,3868.613662,3832.835115,3242.623445,2019.696469,2281783.46
